"Date","Price","Open","High","Low","Vol.","Change %"
"24-02-2025","3,675.60","3,743.15","3,761.25","3,671.00","2.51M","-2.92%"
"21-02-2025","3,786.00","3,776.10","3,817.00","3,775.00","1.83M","0.17%"
"20-02-2025","3,779.40","3,761.50","3,788.00","3,751.30","2.89M","-0.12%"
"19-02-2025","3,784.10","3,872.20","3,874.95","3,768.15","4.37M","-2.30%"
"18-02-2025","3,873.20","3,898.40","3,924.40","3,864.50","2.15M","-0.80%"
"17-02-2025","3,904.50","3,856.50","3,934.00","3,856.20","1.80M","-0.77%"
"14-02-2025","3,934.85","3,925.00","3,948.00","3,900.00","1.68M","0.63%"
"13-02-2025","3,910.15","3,968.00","3,984.45","3,902.25","2.28M","-1.01%"
"12-02-2025","3,950.15","3,971.10","4,021.75","3,940.15","1.68M","-0.34%"
"11-02-2025","3,963.55","4,018.40","4,040.00","3,955.00","1.81M","-1.82%"
"10-02-2025","4,036.95","4,040.00","4,052.00","4,014.35","1.34M","0.19%"
"07-02-2025","4,029.40","4,090.00","4,090.00","4,008.00","1.55M","-1.31%"
"06-02-2025","4,082.75","4,105.40","4,139.50","4,051.55","2.28M","-0.20%"
"05-02-2025","4,091.10","4,150.00","4,150.00","4,076.00","1.69M","-0.39%"
"04-02-2025","4,107.05","4,083.70","4,118.85","4,066.05","2.55M","0.94%"
"03-02-2025","4,068.65","4,030.90","4,077.00","3,998.70","1.27M","-0.11%"
"01-02-2025","4,073.15","4,113.00","4,135.90","4,056.00","437.17K","-0.95%"
"31-01-2025","4,112.40","4,110.00","4,128.45","4,085.25","1.49M","0.30%"
"30-01-2025","4,100.05","4,099.90","4,129.90","4,058.50","1.53M","0.01%"
"29-01-2025","4,099.80","4,054.00","4,107.85","4,054.00","1.22M","1.47%"
"28-01-2025","4,040.30","4,070.80","4,102.00","4,028.30","2.47M","-0.61%"
"27-01-2025","4,065.15","4,102.00","4,156.35","4,041.05","1.55M","-2.10%"
"24-01-2025","4,152.35","4,104.00","4,178.00","4,104.00","1.91M","0.17%"
"23-01-2025","4,145.45","4,168.00","4,191.35","4,140.05","1.82M","-0.27%"
"22-01-2025","4,156.60","4,050.00","4,163.15","4,044.20","2.41M","2.99%"
"21-01-2025","4,035.85","4,095.30","4,111.00","4,030.00","1.97M","-1.03%"
"20-01-2025","4,077.80","4,145.80","4,145.80","4,068.10","1.29M","-1.13%"
"17-01-2025","4,124.30","4,159.90","4,160.60","4,100.05","1.76M","-0.39%"
"16-01-2025","4,140.30","4,193.16","4,226.62","4,126.08","2.64M","-1.02%"
"15-01-2025","4,182.92","4,151.82","4,189.66","4,141.43","1.65M","0.39%"
"14-01-2025","4,166.63","4,234.50","4,246.21","4,152.85","3.44M","-1.35%"
"13-01-2025","4,223.77","4,178.39","4,255.12","4,161.07","4.00M","0.60%"
"10-01-2025","4,198.72","4,134.10","4,229.58","4,104.57","7.89M","3.96%"
"09-01-2025","4,038.85","4,101.00","4,137.75","4,025.30","2.39M","-1.69%"
"08-01-2025","4,108.40","4,034.90","4,126.00","4,017.75","2.18M","1.99%"
"07-01-2025","4,028.30","4,114.95","4,140.35","4,011.55","2.67M","-1.63%"
"06-01-2025","4,095.00","4,105.50","4,149.65","4,066.40","2.09M","-0.12%"
"03-01-2025","4,099.90","4,179.95","4,179.95","4,092.30","1.79M","-1.82%"
"02-01-2025","4,175.75","4,120.00","4,183.00","4,096.95","1.72M","1.54%"
"01-01-2025","4,112.45","4,094.40","4,134.00","4,085.45","763.16K","0.43%"
"31-12-2024","4,094.80","4,135.00","4,139.95","4,032.05","1.56M","-1.54%"
"30-12-2024","4,158.80","4,151.00","4,199.30","4,112.00","1.53M","-0.15%"
"27-12-2024","4,164.85","4,163.00","4,180.95","4,147.25","858.10K","-0.10%"
"26-12-2024","4,169.10","4,179.50","4,199.95","4,143.15","1.21M","-0.25%"
"24-12-2024","4,179.50","4,158.30","4,218.00","4,158.30","1.18M","0.51%"
"23-12-2024","4,158.30","4,200.05","4,217.00","4,114.90","2.20M","-0.29%"
"20-12-2024","4,170.30","4,329.00","4,382.00","4,152.50","4.12M","-2.38%"
"19-12-2024","4,271.90","4,282.00","4,364.00","4,262.00","3.02M","-1.75%"
"18-12-2024","4,347.85","4,311.70","4,362.00","4,289.60","1.58M","0.45%"
"17-12-2024","4,328.50","4,410.00","4,432.95","4,318.00","3.23M","-1.96%"
"16-12-2024","4,415.20","4,459.00","4,475.00","4,397.00","1.65M","-1.31%"
"13-12-2024","4,473.90","4,434.95","4,494.90","4,394.40","1.97M","0.43%"
"12-12-2024","4,454.95","4,430.05","4,485.00","4,426.00","1.91M","0.62%"
"11-12-2024","4,427.45","4,431.85","4,448.65","4,407.00","1.64M","-0.12%"
"10-12-2024","4,432.55","4,426.15","4,493.80","4,412.10","2.09M","-0.44%"
"09-12-2024","4,452.15","4,430.45","4,469.40","4,415.55","2.07M","0.15%"
"06-12-2024","4,445.50","4,453.00","4,465.00","4,412.75","1.84M","-0.42%"
"05-12-2024","4,464.05","4,400.80","4,489.00","4,360.00","3.75M","2.52%"
"04-12-2024","4,354.40","4,313.55","4,386.95","4,289.05","3.30M","1.20%"
"03-12-2024","4,302.75","4,314.35","4,325.00","4,265.45","2.01M","0.61%"
"02-12-2024","4,276.65","4,270.00","4,288.20","4,230.05","1.67M","0.14%"
"29-11-2024","4,270.85","4,220.00","4,298.70","4,195.65","2.02M","0.61%"
"28-11-2024","4,244.90","4,319.00","4,339.95","4,233.00","2.56M","-2.02%"
"27-11-2024","4,332.55","4,358.95","4,377.40","4,324.05","1.56M","-0.46%"
"26-11-2024","4,352.70","4,321.05","4,366.60","4,310.00","2.06M","0.87%"
"25-11-2024","4,315.10","4,280.00","4,328.10","4,252.20","4.05M","1.66%"
"22-11-2024","4,244.60","4,071.00","4,254.95","4,054.00","3.10M","4.22%"
"21-11-2024","4,072.85","4,044.90","4,092.45","4,024.00","2.38M","0.82%"
"19-11-2024","4,039.55","4,019.90","4,132.15","4,014.10","1.78M","0.50%"
"18-11-2024","4,019.50","4,213.00","4,213.00","3,990.20","3.31M","-3.05%"
"14-11-2024","4,145.90","4,135.00","4,160.00","4,116.45","1.83M","-0.11%"
"13-11-2024","4,150.35","4,178.10","4,196.75","4,131.05","1.10M","-1.12%"
"12-11-2024","4,197.40","4,216.00","4,218.00","4,164.35","1.59M","-0.03%"
"11-11-2024","4,198.70","4,128.20","4,234.30","4,117.65","1.41M","1.25%"
"08-11-2024","4,147.00","4,155.00","4,169.75","4,117.65","1.65M","-0.09%"
"07-11-2024","4,150.90","4,169.70","4,205.80","4,085.05","3.72M","0.27%"
"06-11-2024","4,139.65","4,003.60","4,149.80","3,975.25","3.79M","4.24%"
"05-11-2024","3,971.35","3,941.10","3,986.00","3,941.10","967.59K","0.18%"
"04-11-2024","3,964.15","3,966.30","3,991.90","3,913.25","2.27M","-0.50%"
"01-11-2024","3,984.20","3,989.85","3,998.95","3,976.05","154.90K","0.40%"
"31-10-2024","3,968.45","4,070.00","4,078.30","3,960.00","3.74M","-2.84%"
"30-10-2024","4,084.65","4,075.00","4,107.00","4,060.05","1.94M","0.23%"
"29-10-2024","4,075.25","4,095.85","4,103.50","4,060.10","1.45M","-0.38%"
"28-10-2024","4,090.85","4,068.95","4,134.00","4,051.00","1.53M","0.82%"
"25-10-2024","4,057.55","4,057.05","4,092.00","4,032.70","1.76M","0.24%"
"24-10-2024","4,047.90","4,004.00","4,079.00","4,004.00","2.68M","-0.45%"
"23-10-2024","4,066.25","3,999.60","4,113.55","3,995.15","1.97M","1.26%"
"22-10-2024","4,015.50","4,066.00","4,089.80","4,006.35","1.93M","-1.58%"
"21-10-2024","4,079.85","4,132.60","4,139.95","4,070.00","1.60M","-1.05%"
"18-10-2024","4,123.05","4,090.00","4,146.15","4,080.00","2.36M","0.34%"
"17-10-2024","4,109.00","4,112.80","4,129.95","4,092.95","2.52M","0.34%"
"16-10-2024","4,094.95","4,085.00","4,115.00","4,067.20","2.36M","-0.53%"
"15-10-2024","4,116.80","4,131.05","4,169.95","4,095.00","2.76M","-0.48%"
"14-10-2024","4,136.65","4,140.00","4,165.40","4,122.20","2.14M","-0.30%"
"11-10-2024","4,149.20","4,143.00","4,241.95","4,112.45","5.76M","-1.85%"
"10-10-2024","4,227.40","4,253.25","4,293.85","4,198.60","2.38M","-0.60%"
"09-10-2024","4,252.95","4,260.00","4,295.00","4,246.70","1.08M","-0.01%"
"08-10-2024","4,253.25","4,272.60","4,279.40","4,203.95","1.54M","-0.46%"
"07-10-2024","4,272.85","4,273.90","4,297.25","4,229.40","1.47M","0.48%"
"04-10-2024","4,252.25","4,225.00","4,298.00","4,224.05","2.97M","0.46%"
"03-10-2024","4,232.75","4,262.60","4,279.00","4,210.00","3.35M","-1.29%"
"01-10-2024","4,287.90","4,255.55","4,295.75","4,242.95","1.82M","0.45%"
"30-09-2024","4,268.50","4,286.90","4,298.75","4,260.05","2.50M","-0.93%"
"27-09-2024","4,308.70","4,335.00","4,378.00","4,300.05","3.01M","0.38%"
"26-09-2024","4,292.50","4,260.00","4,316.80","4,260.00","3.96M","0.42%"
"25-09-2024","4,274.75","4,252.35","4,289.60","4,240.00","2.71M","0.08%"
"24-09-2024","4,271.30","4,251.65","4,291.00","4,240.00","3.01M","0.07%"
"23-09-2024","4,268.50","4,300.00","4,309.40","4,253.00","1.70M","-0.38%"
"20-09-2024","4,284.90","4,316.90","4,330.70","4,227.50","5.45M","-0.26%"
"19-09-2024","4,296.15","4,390.05","4,422.20","4,281.80","2.93M","-1.15%"
"18-09-2024","4,346.15","4,497.05","4,497.05","4,321.00","2.96M","-3.54%"
"17-09-2024","4,505.65","4,513.25","4,535.80","4,466.00","1.70M","-0.17%"
"16-09-2024","4,513.25","4,527.00","4,546.05","4,494.45","1.16M","-0.21%"
"13-09-2024","4,522.60","4,530.00","4,547.00","4,505.00","1.46M","0.11%"
"12-09-2024","4,517.70","4,510.25","4,532.60","4,431.30","2.74M","0.86%"
"11-09-2024","4,479.35","4,521.45","4,549.35","4,471.25","1.33M","-0.63%"
"10-09-2024","4,507.85","4,442.45","4,539.95","4,440.45","1.39M","1.31%"
"09-09-2024","4,449.55","4,455.00","4,490.25","4,430.50","1.18M","-0.16%"
"06-09-2024","4,456.75","4,473.95","4,518.95","4,440.00","1.65M","-0.43%"
"05-09-2024","4,475.95","4,481.00","4,499.00","4,454.15","1.69M","-0.07%"
"04-09-2024","4,479.25","4,476.95","4,487.00","4,436.70","1.27M","-0.73%"
"03-09-2024","4,512.35","4,521.05","4,555.90","4,495.90","1.72M","-0.19%"
"02-09-2024","4,521.05","4,576.00","4,588.00","4,512.00","1.22M","-0.72%"
"30-08-2024","4,553.75","4,500.00","4,592.25","4,487.80","3.64M","0.93%"
"29-08-2024","4,511.80","4,460.00","4,556.00","4,460.00","2.13M","0.13%"
